latency(lag),total size,packet,time_stamp,err_count,success_count
3890,37609735299,100000004,17312.26,726624,98817352
3890,37610159503,100000004,17344.38,726575,98817359
3890,37610471670,100000016,17376.50,726532,98817442
3890,37610077190,100000012,17408.62,725332,98818638
3890,37610293588,100000008,17440.74,725969,98818059
3890,37610284634,100000004,17472.86,726624,98817352
3890,37609914723,100000008,17504.98,726624,98817368
3889,37609742129,100000004,17537.10,726624,98817327
3890,37610567831,100000004,17569.22,726554,98817365
3893,37610303634,100000004,17601.34,726336,98817667
3898,37610320345,100000006,17633.46,725116,98818855
3899,37610262086,100000002,17665.57,726402,98817606
3898,37609826030,100000004,17697.70,726624,98817349
3898,37609916479,100000008,17729.81,726624,98817348
3897,37609923021,100000008,17761.94,726606,98817349
3896,37610436981,100000008,17794.05,726562,98817369
3896,37610580893,100000004,17826.17,725865,98818130
3897,37610227318,100000012,17858.28,725375,98818641
3897,37610147878,100000020,17890.40,726624,98817371
3898,37610012017,100000008,17922.53,726624,98817349
3898,37609781191,100000004,17954.64,726624,98817340
3898,37610141756,100000004,17986.76,726576,98817376
3898,37610518704,100000008,18018.88,726538,98817421
3898,37610111519,100000004,18051.00,725411,98818555
3898,37610253467,100000004,18083.12,725883,98818138
3898,37610210166,100000004,18115.24,726624,98817356
3898,37610001070,100000004,18147.36,726624,98817349
3898,37609696543,100000004,18179.48,726624,98817346
3899,37610607387,100000004,18211.60,726554,98817365
3898,37610297314,100000004,18243.71,726393,98817601
3899,37610267149,100000004,18275.84,725117,98818840
3898,37610251929,100000012,18307.96,726344,98817689
3898,37609886887,100000016,18340.08,726624,98817364
3897,37609909262,100000004,18372.19,726624,98817338
3898,37609834772,100000004,18404.31,726611,98817338
3898,37610543948,100000004,18436.43,726557,98817378
3897,37610568199,100000004,18468.55,725918,98818073
3897,37610132634,100000008,18500.67,725322,98818690
3898,37610237566,100000004,18532.79,726624,98817350
3898,37609955404,100000004,18564.91,726624,98817356
3898,37609874510,100000004,18597.03,726624,98817331
3898,37610053651,100000008,18629.15,726580,98817379
