latency(lag),total size,packet,time_stamp,err_count,success_count
3861,37610464048,100000004,7484.89,0,99543964
3866,37610046814,100000004,7517.02,0,99543963
3866,37610302087,100000016,7549.15,0,99544037
3866,37610249431,100000004,7581.26,0,99543975
3861,37609900944,100000008,7613.40,0,99543989
3861,37609650336,100000004,7645.51,0,99543951
3861,37610660774,100000002,7677.64,0,99543922
3861,37610310035,100000002,7709.77,0,99543998
3860,37610362008,100000004,7741.89,0,99543970
3861,37610197396,100000004,7774.01,0,99544008
3861,37609874272,100000004,7806.14,0,99543971
3864,37609886104,100000008,7838.26,0,99543976
3862,37609886183,100000004,7870.38,0,99543949
3863,37610488005,100000016,7902.51,0,99543939
3869,37610598290,100000004,7934.64,0,99543996
3864,37610230391,100000004,7966.76,0,99544008
3862,37610127462,100000016,7998.88,0,99543993
3861,37610031680,100000004,8031.01,0,99543967
3862,37609794888,100000008,8063.13,0,99543976
3862,37610123246,100000004,8095.26,0,99543941
3861,37610449909,100000008,8127.38,0,99543968
3861,37610109944,100000004,8159.51,0,99543960
3861,37610238406,100000012,8191.63,0,99544030
3861,37610320046,100000020,8223.75,0,99543993
3861,37609963782,100000004,8255.87,0,99543975
3858,37609688456,100000004,8288.00,0,99543967
3860,37610586561,100000004,8320.12,0,99543919
3861,37610323888,100000004,8352.25,0,99543999
3861,37610322461,100000012,8384.37,0,99543971
3861,37610226811,100000008,8416.50,0,99544023
3862,37609887805,100000012,8448.62,0,99543979
3861,37609866135,100000004,8480.74,0,99543965
3860,37609865191,100000004,8512.86,0,99543952
3862,37610558580,100000004,8544.99,0,99543932
3861,37610544417,100000016,8577.11,0,99544002
3861,37610180834,100000004,8609.24,0,99544014
3858,37610137694,100000020,8641.36,0,99543989
3860,37610035349,100000004,8673.48,0,99543973
3863,37609820512,100000003,8705.61,0,99543960
3862,37610061262,100000001,8737.73,0,99543948
3863,37610600257,100000004,8769.86,0,99543959
3865,37610118523,100000008,8801.98,0,99543969
3863,37610313024,100000004,8834.10,0,99544013
3865,37610149166,100000004,8866.23,0,99543989
3864,37609935215,100000004,8898.36,0,99543974
3864,37609708460,100000008,8930.47,0,99543974
3865,37610593664,100000004,8962.60,0,99543913
3865,37610327614,100000005,8994.73,0,99544000
3865,37610266103,100000007,9026.85,0,99543957
3865,37610219243,100000004,9058.97,0,99544027
3864,37609907113,100000008,9091.09,0,99543975
3864,37609867241,100000004,9123.22,0,99543970
3862,37609826561,100000004,9155.35,0,99543943
3858,37610597734,100000004,9187.47,0,99543931
3858,37610572902,100000004,9219.59,0,99543999
3863,37610172675,100000004,9251.71,0,99544005
3865,37610195212,100000008,9283.83,0,99543979
3865,37609896061,100000004,9315.96,0,99543980
3865,37609930075,100000008,9348.09,0,99543962
3865,37610090037,100000004,9380.21,0,99543954
3865,37610530652,100000008,9412.34,0,99543958
3864,37610161037,100000004,9444.46,0,99543965
3867,37610257483,100000006,9476.59,0,99544014
3864,37610152629,100000002,9508.70,0,99543991
3864,37610028232,100000004,9540.83,0,99543978
3863,37609659788,100000004,9572.95,0,99543965
3864,37610623450,100000008,9605.08,0,99543921
3864,37610236227,100000004,9637.20,0,99543995
3864,37610141212,100000004,9669.32,0,99543956
3864,37610377028,100000004,9701.45,0,99544016
3864,37609905642,100000004,9733.57,0,99543965
3864,37609939158,100000008,9765.69,0,99543989
3860,37609779471,100000016,9797.83,0,99543957
3900,37610557992,100000004,9829.94,0,99543936
3951,37610614590,100000004,9862.07,0,99543997
3870,37610185127,100000004,9894.20,0,99543988
3866,37610317397,100000004,9926.32,0,99543987
3861,37609797643,100000004,9958.44,0,99543980
3865,37609815060,100000004,9990.57,0,99543961
