latency(lag),total size,packet,time_stamp,err_rate
5299,37843546034,100000032,25993.34,0
5302,37846450551,100000032,26009.68,0
5300,37846889836,100000032,26026.02,0
5299,37843768246,100000032,26042.36,0
5294,37838874550,100000032,26058.69,0
5294,37839568625,100000032,26075.02,0
5295,37838429577,100000032,26091.35,0
5295,37841139701,100000032,26107.68,0
5297,37842792687,100000032,26124.02,0
5295,37842212718,100000032,26140.36,0
5294,37841743920,100000032,26156.69,0
5294,37841692871,100000032,26173.03,0
5295,37841585461,100000032,26189.35,0
5295,37843835557,100000032,26205.69,0
5295,37843900799,100000032,26222.03,0
5294,37840900271,100000032,26238.36,0
5294,37845062979,100000032,26254.70,0
5294,37844208458,100000032,26271.03,0
5296,37847300551,100000032,26287.37,0
5296,37848389728,100000032,26303.72,0
5294,37844764713,100000032,26320.05,0
5293,37842369334,100000032,26336.38,0
5293,37840887228,100000032,26352.72,0
5294,37841752496,100000032,26369.05,0
5295,37842035676,100000032,26385.39,0
5294,37841277310,100000032,26401.72,0
5294,37841839045,100000032,26418.05,0
5294,37840329178,100000032,26434.39,0
5294,37840253677,100000032,26450.71,0
5296,37841879754,100000032,26467.05,0
5296,37840341633,100000032,26483.38,0
5297,37842662405,100000032,26499.71,0
5294,37834480404,100000032,26516.04,0
5294,37840266012,100000032,26532.38,0
5294,37837134041,100000032,26548.70,0
5296,37838743328,100000032,26565.04,0
5299,37841281385,100000032,26581.37,0
5300,37845108343,100000032,26597.70,0
5297,37842592207,100000032,26614.04,0
5294,37838463574,100000032,26630.37,0
5295,37837213358,100000032,26646.70,0
5294,37838292570,100000032,26663.03,0
5296,37839836802,100000032,26679.36,0
5296,37840976751,100000032,26695.69,0
5297,37844477110,100000032,26712.03,0
5295,37839808346,100000032,26728.36,0
5295,37842886562,100000032,26744.69,0
5295,37845137784,100000032,26761.04,0
5295,37844075335,100000032,26777.37,0
5295,37844088006,100000032,26793.70,0
5296,37843444865,100000032,26810.04,0
5296,37844118082,100000032,26826.37,0
5294,37842356076,100000032,26842.71,0
5294,37844261218,100000032,26859.05,0
5295,37844466643,100000032,26875.38,0
5295,37843885757,100000032,26891.72,0
5295,37845194039,100000032,26908.06,0
5294,37844124845,100000032,26924.39,0
5294,37841638622,100000032,26940.73,0
5295,37842745069,100000032,26957.06,0
5295,37844324457,100000032,26973.40,0
5296,37843104065,100000032,26989.74,0
5294,37842866810,100000032,27006.07,0
5294,37841378128,100000032,27022.40,0
5295,37841489694,100000032,27038.74,0
5295,37840206121,100000032,27055.06,0
5297,37843979649,100000032,27071.41,0
5297,37843864175,100000032,27087.74,0
5298,37845504496,100000032,27104.08,0
5295,37838164236,100000032,27120.41,0
5295,37839068601,100000032,27136.74,0
5295,37838602320,100000032,27153.07,0
5297,37840426924,100000032,27169.40,0
5300,37844803892,100000032,27185.74,0
5300,37844947750,100000032,27202.08,0
5296,37839965972,100000032,27218.41,0
5294,37838828966,100000032,27234.74,0
5294,37837167732,100000032,27251.07,0
5294,37837122389,100000032,27267.40,0
5296,37838405160,100000032,27283.72,0
5296,37840844422,100000032,27300.07,0
5296,37843198438,100000032,27316.40,0
5294,37839391675,100000032,27332.73,0
5295,37842634977,100000032,27349.06,0
5295,37844003837,100000032,27365.41,0
5295,37843186522,100000032,27381.74,0
5296,37846079832,100000032,27398.08,0
5296,37844444227,100000032,27414.41,0
5295,37841288102,100000032,27430.74,0
5294,37843990862,100000032,27447.07,0
5296,37845414921,100000032,27463.41,0
5295,37844780680,100000032,27479.76,0
5296,37845287383,100000032,27496.09,0
5296,37845512657,100000032,27512.43,0
5295,37845031855,100000032,27528.77,0
5293,37840158138,100000032,27545.10,0
5295,37843177396,100000032,27561.43,0
5296,37842884576,100000032,27577.77,0
5295,37841582302,100000032,27594.11,0
5295,37844466541,100000032,27610.44,0
5295,37844839570,100000032,27626.77,0
5294,37841912913,100000032,27643.11,0
5295,37841168317,100000032,27659.44,0
5296,37842216180,100000032,27675.77,0
5296,37843083539,100000032,27692.11,0
5482,38395564922,100000032,27709.32,0
5352,37973968495,100000032,27725.87,0
5303,37846303604,100000032,27742.20,0
5308,37866086780,100000032,27758.57,0
5299,37844358458,100000032,27774.91,0
5302,37848047069,100000032,27791.26,0
5300,37847161942,100000032,27807.60,0
5298,37844155211,100000032,27823.94,0
5297,37844372695,100000032,27840.27,0
5297,37842448971,100000032,27856.61,0
5296,37839839842,100000032,27872.94,0
5298,37843881083,100000032,27889.27,0
5298,37844191608,100000032,27905.61,0
5299,37848182260,100000032,27921.95,0
5297,37843795317,100000032,27938.29,0
5295,37844680185,100000032,27954.62,0
5296,37844989036,100000032,27970.96,0
5296,37844084748,100000032,27987.30,0
5298,37846170219,100000032,28003.64,0
5297,37845911143,100000032,28019.98,0
5296,37843923054,100000032,28036.32,0
5296,37843795899,100000032,28052.65,0
5297,37846481758,100000032,28068.99,0
5296,37844841472,100000032,28085.33,0
5298,37850227763,100000032,28101.68,0
5296,37846373675,100000032,28118.01,0
5295,37844590857,100000032,28134.35,0
5296,37843051879,100000032,28150.69,0
5297,37846463618,100000032,28167.02,0
5297,37845059095,100000032,28183.36,0
5295,37843988313,100000032,28199.69,0
5295,37843583102,100000032,28216.03,0
5295,37840630704,100000032,28232.37,0
5296,37844072523,100000032,28248.70,0
5296,37842230861,100000032,28265.04,0
5296,37839674170,100000032,28281.36,0
5300,37847118521,100000032,28297.71,0
5294,37837852193,100000032,28314.03,0
5296,37840183626,100000032,28330.37,0
5296,37840618936,100000032,28346.71,0
5297,37842098949,100000032,28363.04,0
5301,37846447318,100000032,28379.38,0
5299,37845033790,100000032,28395.72,0
5299,37842357211,100000032,28412.05,0
5297,37842287699,100000032,28428.39,0
5297,37842687529,100000032,28444.72,0
