latency(lag),total size,packet,time_stamp,err_count,success_count
3870,37609984823,100000004,9699.73,811074,98732899
3870,37609684557,100000008,9731.86,812928,98731043
3870,37610582466,100000004,9763.97,812928,98730994
3870,37610223296,100000012,9796.09,812928,98731076
3870,37610145729,100000012,9828.20,812910,98731053
3870,37610394475,100000004,9860.32,812864,98731154
3870,37609988360,100000024,9892.44,811927,98732056
3871,37609903522,100000020,9924.56,811675,98732327
3870,37609768057,100000004,9956.68,812928,98731018
3869,37610500447,100000013,9988.80,812928,98731017
3870,37610682911,100000003,10020.91,812928,98731066
3870,37610182239,100000004,10053.04,812883,98731098
3870,37610259149,100000004,10085.15,812847,98731147
3870,37609807942,100000004,10117.27,811298,98732683
3870,37609848311,100000004,10149.38,812348,98731611
3870,37610041412,100000004,10181.50,812928,98731018
3870,37610666669,100000008,10213.63,812928,98731016
3870,37610153907,100000004,10245.74,812923,98731063
3870,37610236739,100000004,10277.86,812873,98731135
3871,37610261943,100000004,10309.97,812576,98731417
3870,37609948726,100000004,10342.09,811004,98732974
3871,37609631082,100000004,10374.21,812928,98731038
3870,37610620171,100000008,10406.33,812928,98730994
3870,37610220232,100000008,10438.45,812928,98731067
3870,37610161227,100000004,10470.57,812914,98731045
3870,37610379090,100000004,10502.68,812864,98731160
3871,37609987236,100000008,10534.81,812014,98731951
3870,37609918735,100000006,10566.92,811584,98732395
3870,37609684362,100000002,10599.04,812928,98731027
3870,37610504237,100000004,10631.16,812928,98731006
3869,37610655296,100000012,10663.27,812928,98731073
3871,37610234282,100000008,10695.39,812883,98731100
3870,37610375837,100000004,10727.51,812850,98731144
3870,37609697568,100000008,10759.63,811371,98732604
3870,37609802894,100000004,10791.75,812272,98731704
3871,37610096313,100000004,10823.86,812928,98731006
3870,37610579039,100000016,10855.98,812928,98731030
3870,37610328600,100000004,10888.10,812923,98731061
3870,37610104003,100000004,10920.22,812878,98731137
3870,37610282779,100000004,10952.34,812644,98731343
3870,37609981779,100000004,10984.45,810932,98733037
3870,37609678645,100000008,11016.58,812927,98731052
3870,37610484620,100000004,11048.69,812928,98730993
3870,37610320334,100000004,11080.82,812928,98731048
3869,37610187331,100000008,11112.93,812914,98731067
3870,37610372215,100000004,11145.05,812867,98731157
3870,37609894925,100000008,11177.16,812108,98731850
3869,37610024047,100000012,11209.28,811487,98732499
3970,37609665254,100000008,11241.40,812928,98731034
3869,37610511690,100000004,11273.52,812928,98730999
3874,37610635407,100000004,11305.64,812928,98731073
3871,37610203199,100000008,11337.76,812887,98731096
3870,37610342212,100000008,11369.88,812852,98731145
3870,37609761406,100000004,11401.99,811446,98732528
3870,37609846825,100000004,11434.11,812191,98731786
3870,37609956458,100000004,11466.23,812928,98731006
3870,37610677082,100000016,11498.35,812928,98731027
3870,37610314015,100000004,11530.47,812923,98731061
3870,37610225225,100000004,11562.59,812878,98731135
3870,37610208550,100000004,11594.71,812714,98731276
